iter	BalancedAccuracy	Logloss
0	0.8090760823	0.6512395722
1	0.8103595532	0.6187994228
2	0.8095039059	0.6086731358
3	0.8093277432	0.5778494812
4	0.8090760823	0.5545369129
5	0.8090760823	0.5328504513
6	0.8090760823	0.5129801382
7	0.8102942151	0.5029250489
8	0.8374295193	0.489342685
9	0.8346409283	0.4840823849
10	0.8323004813	0.4700175612
11	0.8329698057	0.4653563221
12	0.8377063464	0.4545105905
13	0.835411386	0.4487163233
14	0.8368758652	0.4438288549
15	0.834696575	0.4366169824
16	0.8371730127	0.4286367412
17	0.8411695763	0.4202901687
18	0.8407567586	0.4163481719
19	0.8394631274	0.4139239594
20	0.8463136202	0.4083713297
21	0.8515786489	0.4020532206
22	0.8521927954	0.3978141243
23	0.8532749376	0.3949227687
24	0.8540299205	0.3902792262
25	0.8554643879	0.3877046028
26	0.8555398862	0.3825759596
27	0.8559677099	0.3810369491
28	0.8559677099	0.3792612706
29	0.8551120626	0.3789271525
30	0.860618592	0.3778876193
31	0.8595112838	0.3775883405
32	0.8594609516	0.3746088435
33	0.8602662667	0.3724107072
34	0.8609960835	0.3710081283
35	0.8585951441	0.3684904004
36	0.8607695886	0.3675864441
37	0.8624808831	0.3642839037
38	0.861398741	0.3637483035
39	0.8653599783	0.3622544195
40	0.8659891307	0.3606495451
41	0.8683397379	0.3588039666
42	0.8689437242	0.3572531107
43	0.8713446636	0.3557305818
44	0.870665179	0.3555592103
45	0.8729151218	0.3551634421
46	0.8800071153	0.3539843666
47	0.8789753053	0.3523987107
48	0.8784971495	0.3518242026
49	0.8773646752	0.3512240042
50	0.8732021091	0.3480406069
51	0.8772640108	0.3469685725
52	0.8780693259	0.3441639158
53	0.8784468173	0.3437134678
54	0.8785978139	0.3424748776
55	0.878371319	0.3421166263
56	0.8775408379	0.3403891399
57	0.8775408379	0.3391271097
58	0.8775660039	0.3378191126
59	0.8775408379	0.3361112116
60	0.8829617088	0.3333848647
61	0.8837670238	0.3307351493
62	0.8870236105	0.3301070151
63	0.8843458441	0.3270957683
64	0.8870739427	0.3259650101
65	0.8867216173	0.3251865904
66	0.8882567492	0.3224924564
67	0.8918908273	0.320895977
68	0.8915385019	0.320452416
69	0.8915133358	0.3193413903
70	0.8930233016	0.3173422188
71	0.8931491321	0.3169271762
72	0.8929478033	0.3166284062
73	0.8928974711	0.3160113709
74	0.8933252948	0.3137311021
75	0.8935014574	0.3127614876
76	0.8939292811	0.3115102661
77	0.8945835996	0.3100422696
78	0.8972865321	0.3096435608
79	0.8968838746	0.3093725643
80	0.8967580441	0.3084971295
81	0.9035480444	0.3065304868
82	0.9002914578	0.3060184273
83	0.9012729355	0.3034154749
84	0.9014994304	0.3024415603
85	0.9012729355	0.3024143588
86	0.9028332335	0.2995382573
87	0.9026570708	0.2995118104
88	0.9028583996	0.2989944412
89	0.903235891	0.2978177661
90	0.9061653184	0.2976171946
91	0.9062408167	0.2963585878
92	0.9062911489	0.2953180826
93	0.9067189725	0.2920757734
94	0.9067693047	0.2919920585
95	0.9068699691	0.2911575876
96	0.9068951352	0.2906366198
97	0.9066938065	0.2895850723
98	0.9065428099	0.2895654256
99	0.9064421455	0.2891267665
100	0.9094470712	0.2883191822
101	0.9094722373	0.2881689494
102	0.9092205763	0.2875176083
103	0.9091199119	0.2875016843
104	0.9090695797	0.2873285594
105	0.9060394879	0.2847456708
106	0.9058884914	0.2847297389
107	0.9058381592	0.2846125079
108	0.9091702441	0.2838810587
109	0.9090192475	0.2838678315
110	0.9089185831	0.2838553892
111	0.9087424205	0.2835396549
112	0.9086669222	0.2835285712
113	0.908868251	0.2824591764
114	0.9120745054	0.2810666366
115	0.9120996715	0.2803561751
116	0.9122758342	0.2797644613
117	0.912225502	0.2797548537
118	0.9128798205	0.2787588525
119	0.9129049866	0.2783609334
120	0.9127791561	0.278222513
121	0.9126784917	0.2781504939
122	0.9125778273	0.2777872694
123	0.9127288239	0.2770302853
124	0.9128546544	0.2756424984
125	0.9129301527	0.2752423717
126	0.9128798205	0.2750459437
127	0.91275399	0.2750385258
128	0.9135593051	0.2729992124
129	0.9136348034	0.2725144242
130	0.913534139	0.2725097096
131	0.913810966	0.2712156542
132	0.9136851356	0.2710964988
133	0.9136096373	0.2707708326
134	0.9109570369	0.2699959618
135	0.9110325352	0.2695829437
136	0.9110073691	0.2695795841
137	0.9110073691	0.2695764235
138	0.9111583657	0.2686122794
139	0.9120391791	0.2667570448
140	0.9121901757	0.2661264353
141	0.9120895113	0.2658441323
142	0.9124166705	0.2649561997
143	0.9123915044	0.2648341271
144	0.9155725928	0.264439952
145	0.915622925	0.2643636521
146	0.916403074	0.2629682939
147	0.9163527418	0.2628024719
148	0.9162772435	0.2626925432
149	0.9162269113	0.2625316382
150	0.9161262469	0.2624802501
151	0.9166295688	0.2617195668
152	0.9166044027	0.2615834898
153	0.9167302332	0.2611748333
154	0.9165037383	0.2603685494
155	0.9165037383	0.2602806397
156	0.9166044027	0.2596644605
157	0.9170825586	0.2577049243
158	0.9175607144	0.2568288661
159	0.9175858805	0.2551738552
160	0.91746005	0.2550533105
161	0.9173090534	0.2549200238
162	0.9177620431	0.2533626859
163	0.9177872092	0.2532860649
164	0.9213206229	0.2521326795
165	0.9212702908	0.2520277985
166	0.9211696264	0.2518262922
167	0.9212451247	0.2517856087
168	0.9211947925	0.2517835818
169	0.9210941281	0.2517465809
170	0.9210437959	0.2516769951
171	0.9211192942	0.2511095928
172	0.9210941281	0.2504496407
173	0.9211947925	0.2502529954
174	0.921345789	0.2494611624
175	0.9212702908	0.2493921423
176	0.9214212873	0.2492675636
177	0.9216729483	0.2486162435
178	0.9216729483	0.2486103337
179	0.9216729483	0.2483784299
180	0.9216981144	0.2478668217
181	0.9217736127	0.2474802387
182	0.9217987788	0.2473904339
183	0.921849111	0.2469960733
184	0.9220252736	0.2467206468
185	0.9220504397	0.2466676644
186	0.9224530973	0.2450522576
187	0.9231325819	0.2441839858
188	0.9230822497	0.2439664786
189	0.9232332463	0.2437244189
190	0.9232835785	0.2435437736
191	0.9233842428	0.2429434419
192	0.9235100733	0.2422778148
193	0.9236610699	0.2415014653
194	0.9237869004	0.2406497727
195	0.9238120665	0.2403117431
196	0.9241140596	0.2394359048
197	0.9240637274	0.2393696911
198	0.9241895579	0.2391267478
199	0.9242398901	0.2388521521
200	0.9242650562	0.2387489869
201	0.9242902223	0.2387334743
202	0.9243657206	0.2383338293
203	0.9243908867	0.2381806479
204	0.9244160528	0.2379825319
205	0.9250955374	0.2364982866
206	0.9252968661	0.2357731515
207	0.9252968661	0.2357531541
208	0.9252213679	0.2357325752
209	0.9256240254	0.2350851527
210	0.9256240254	0.2350418395
211	0.9256240254	0.2347963181
212	0.9255485271	0.2344004064
213	0.9256491915	0.2342393904
214	0.9256743576	0.233857761
215	0.9259763507	0.2333262796
216	0.9259260186	0.2333026852
217	0.9261021812	0.2326287777
218	0.9264545066	0.2319778681
219	0.9263538422	0.2318883318
220	0.9263538422	0.2318877963
221	0.926831998	0.2310679905
222	0.9269578285	0.23038243
223	0.9269578285	0.2302845536
224	0.9277379775	0.2283947331
225	0.9279393063	0.2274101433
226	0.9279644723	0.2273300569
227	0.9280148045	0.2271391627
228	0.9280148045	0.2269628115
229	0.9280148045	0.2269137159
230	0.9284677943	0.2258721755
231	0.9284426282	0.2258243624
232	0.928669123	0.2247829457
233	0.9286439569	0.2247795078
234	0.9287446213	0.2244622135
235	0.9288704518	0.2238821271
236	0.9289962823	0.2229884611
237	0.9290466145	0.2226791609
238	0.9291472789	0.2220668443
239	0.9291221128	0.2220663416
240	0.9292479433	0.2215640941
241	0.9292982755	0.2212207187
242	0.9292731094	0.221217868
243	0.9293737737	0.2208930993
244	0.9297260991	0.2201598095
245	0.9297764313	0.2201258321
246	0.9297512652	0.2200855024
247	0.9299274279	0.2196443359
248	0.9301035905	0.2191618662
249	0.9300784244	0.2191298484
250	0.9300532583	0.2189107544
251	0.9301287566	0.218750303
252	0.9301035905	0.2181883032
253	0.9301287566	0.2179082423
254	0.9301035905	0.2179079163
255	0.9304055837	0.217206668
256	0.9304055837	0.2172065924
257	0.9304055837	0.2172064315
258	0.9303049193	0.2171694393
259	0.9302797532	0.2170247621
260	0.9303300854	0.2169301586
261	0.9303552515	0.2169189465
262	0.9306572446	0.2155026348
263	0.9305062481	0.2150160769
264	0.9306069125	0.2146610021
265	0.9306572446	0.2146348336
266	0.9309844039	0.214051808
267	0.9309340717	0.2139588698
268	0.9310850683	0.2135741252
269	0.9311102344	0.2134545483
270	0.9315632241	0.2124273687
271	0.9316387224	0.211902282
272	0.9320162138	0.2105958111
273	0.9320413799	0.2101440707
274	0.9322930409	0.2094236841
275	0.9322678748	0.2088677793
276	0.9322427087	0.2088675088
277	0.9324440375	0.2084160786
278	0.9326705323	0.2079791962
279	0.9327208645	0.2078745824
280	0.9332241865	0.2069888167
281	0.9332241865	0.2069864685
282	0.9332241865	0.2069098475
283	0.9332493526	0.2068020591
284	0.9334255152	0.2059712987
285	0.9340295015	0.2043570146
286	0.9342811625	0.2034029123
287	0.9343314947	0.2032506207
288	0.9343063286	0.2032331523
289	0.9343063286	0.2032001071
290	0.934406993	0.2029068904
291	0.9345328235	0.202208291
